Date,Open,High,Low,Close,Volume,time
2013-08-23,496.11999512,497.89001465,482.77999878,486.82000732,54165000,1377223200
2013-08-26,485.26000977,490.54000854,478.58999634,490.54000854,43033000,1377482400
2013-08-27,488.23001099,489.89001465,485.57000732,485.57000732,27832000,1377568800
2013-08-28,482.48001099,482.48001099,470.29000854,473.29998779,69273000,1377655200
2013-08-29,473.32998657,477.08999634,468.54998779,468.54998779,39838000,1377741600
2013-08-30,469.64001465,472.70001221,462.13000488,472.70001221,35496000,1377828000
2013-09-03,473.55999756,477.07998657,470.26000977,472.17001343,29194000,1378173600
2013-09-04,472.76998901,476.42001343,469.29998779,471.45001221,69278000,1378260000
2013-09-05,473.61999512,477.76998901,470.72000122,477.57000732,47477000,1378346400
2013-09-06,479.17999268,480.54998779,475.16000366,480.02999878,46817000,1378432800
2013-09-09,478.98001099,478.98001099,469.39001465,470.16000366,54930000,1378692000
2013-09-10,470.16000366,475.61999512,470.16000366,474.52999878,28764000,1378778400
2013-09-11,474.52999878,478.95001221,473.67999268,476.3999939,33569000,1378864800
2013-09-12,474.97000122,477.25,474.91000366,475.58999634,32566000,1378951200
2013-09-13,475.10998535,478.0,474.54000854,476.42001343,29065000,1379037600
2013-09-16,478.32000732,478.70001221,473.97000122,475.57000732,38474000,1379296800
2013-09-17,476.20999146,480.16000366,475.82000732,477.73001099,39152000,1379383200
2013-09-18,478.6499939,479.42999268,473.51998901,474.26000977,39014000,1379469600
2013-09-19,477.98999023,478.98999023,475.69000244,476.08999634,35572000,1379556000
2013-09-20,476.11999512,477.19000244,474.70001221,477.19000244,84264000,1379642400
2013-09-23,476.79000854,479.08999634,475.05999756,479.08999634,46168000,1379901600
2013-09-24,478.88000488,483.77999878,478.8500061,482.82000732,82400000,1379988000
2013-09-25,482.41000366,488.98001099,482.41000366,486.22000122,80657000,1380074400
2013-09-26,486.27999878,487.88000488,482.60998535,485.10998535,49671000,1380160800
2013-09-27,484.67999268,487.82000732,483.8500061,486.60998535,47133000,1380247200
2013-09-30,487.11999512,492.6499939,486.70001221,492.63000488,68464000,1380506400
2013-10-01,491.92001343,496.58999634,491.33999634,492.23999023,102078000,1380592800
2013-10-02,492.57998657,496.85998535,492.57998657,494.39001465,77328000,1380679200
2013-10-03,495.0,495.0,491.58999634,492.29998779,62671000,1380765600
2013-10-04,492.17001343,497.73001099,490.42999268,497.5,59716000,1380852000
2013-10-07,497.45001221,502.16000366,496.92001343,500.47000122,72099000,1381111200
2013-10-08,500.52999878,502.64001465,497.57998657,502.22000122,72185000,1381197600
2013-10-09,501.27999878,502.51998901,498.98001099,500.67001343,64403000,1381284000
2013-10-10,500.33999634,501.64001465,494.80999756,494.80999756,66509000,1381370400
2013-10-11,496.70999146,498.57998657,494.52999878,494.52999878,53529000,1381456800
2013-10-14,494.30999756,495.67001343,492.80999756,493.61999512,38398000,1381716000
2013-10-15,493.02999878,495.72000122,492.36999512,495.72000122,50449000,1381802400
2013-10-16,495.58999634,500.6000061,495.01998901,498.95999146,69933000,1381888800
2013-10-17,501.88000488,502.64001465,498.82998657,499.58999634,64096000,1381975200
2013-10-18,499.89001465,501.39001465,497.91000366,500.82998657,69747000,1382061600
2013-10-21,501.79998779,503.72000122,500.25,501.57000732,112334000,1382320800
2013-10-22,500.94000244,502.95001221,498.73999023,500.57000732,74971000,1382407200
2013-10-23,501.41000366,504.80999756,501.41000366,504.04998779,82425000,1382493600
